Label	FreeRTOS	uCOS
1	3,1	14,84
2	3,04	14,86
3	2,74	14,82
4	3,04	14,82
5	2,68	14,82
6	2,74	14,84
7	2,68	14,8
8	2,66	14,82
9	2,98	14,76
10	3,12	14,82
11	3,06	14,82
12	2,74	14,82
13	3,06	14,8
14	2,68	14,8
15	2,74	14,8
16	2,68	14,8
17	2,68	14,82
18	2,98	14,74
19	3,12	14,82
