Label	uCOS_wo_Load	uCOS_w_Load
15,6	0	0
15,62	0	14,03508772
15,64	0	57,01754386
15,66	0	21,05263158
15,68	2,89017341	0
15,7	42,77456647	0
15,72	53,75722543	0
15,74	0,578034682	0
15,76	0	0,877192982
15,78	0	5,263157895
15,8	0	0,877192982
15,82	0	0
15,84	0	0
15,86	0	0
