Sample   	CK0   	A3     	A2     	A2(7)	A2(6)	A2(5)	A2(4)	A2(3)	A2(2)	A2(1)	A2(0)	              Timestamp
       71	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       72	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       73	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       74	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       75	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       76	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       77	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       78	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       79	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       80	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       81	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       82	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       83	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       84	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       85	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       86	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       87	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       88	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       89	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       90	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       91	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       92	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       93	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       94	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       95	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       96	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       97	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       98	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
       99	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      100	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      101	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      102	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      103	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      104	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      105	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      106	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      107	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      108	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      109	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      110	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      111	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      112	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      113	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      114	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      115	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      116	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      117	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      118	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      119	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      120	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      121	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      122	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      123	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      124	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      125	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      126	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      127	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      128	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      129	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      130	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      131	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      132	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      133	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      134	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      135	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      136	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      137	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      138	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      139	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      140	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      141	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      142	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      143	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      144	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      145	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      146	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      147	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      148	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      149	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      150	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      151	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      152	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      153	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      154	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      155	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      156	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      157	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      158	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      159	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      160	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      161	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      162	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      163	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      164	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      165	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      166	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      167	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      168	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      169	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      170	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      171	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      172	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      173	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      174	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      175	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      176	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      177	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      178	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      179	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      180	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      181	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      182	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      183	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      184	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      185	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      186	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      187	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      188	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      189	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      190	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      191	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      192	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      193	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      194	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      195	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      196	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      197	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      198	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      199	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      200	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      201	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      202	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      203	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      204	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      205	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      206	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      207	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      208	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      209	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      210	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      211	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      212	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      213	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      214	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      215	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      216	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      217	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      218	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      219	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      220	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      221	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      222	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      223	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      224	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      225	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      226	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      227	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      228	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      229	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      230	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      231	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      232	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      233	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      234	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      235	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      236	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      237	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      238	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      239	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      240	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      241	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      242	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      243	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      244	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      245	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      246	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      247	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      248	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      249	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      250	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      251	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      252	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      253	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      254	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      255	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      256	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      257	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      258	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      259	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      260	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      261	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      262	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      263	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      264	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      265	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      266	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      267	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      268	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      269	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      270	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      271	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      272	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      273	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      274	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      275	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      276	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      277	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      278	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      279	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      280	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
      281	0     	00     	60     	0    	1    	1    	0    	0    	0    	0    	0    	             100.000 ns
