Sample, CMD, SDCLK
360, 0, 0
362, 0, 1
365, 0, 0
367, 0, 1
370, 0, 0
372, 0, 1
375, 0, 0
377, 0, 1
380, 0, 0
382, 0, 1
385, 0, 0
387, 0, 1
390, 0, 0
392, 0, 1
395, 0, 0
397, 0, 1
400, 0, 0
402, 0, 1
405, 0, 0
407, 0, 1
410, 0, 0
412, 0, 1
415, 0, 0
417, 0, 1
420, 0, 0
422, 0, 1
425, 0, 0
427, 0, 1
430, 0, 0
432, 0, 1
435, 1, 0
437, 1, 1
440, 1, 0
442, 1, 1
445, 0, 0
447, 0, 1
450, 1, 0
452, 1, 1
455, 0, 0
457, 0, 1
460, 1, 0
462, 1, 1
465, 0, 0
467, 0, 1
470, 1, 0
472, 1, 1
475, 0, 0
477, 0, 1
480, 1, 0
482, 1, 1
485, 0, 0
487, 0, 1
490, 0, 0
492, 0, 1
495, 0, 0
497, 0, 1
500, 0, 0
502, 0, 1
505, 1, 0
507, 1, 1
510, 1, 0
512, 1, 1
515, 1, 0
517, 1, 1
520, 1, 0
522, 1, 1
525, 1, 0
527, 1, 1
530, 1, 0
532, 1, 1
535, 1, 0
537, 1, 1
540, 1, 0
542, 1, 1
545, 1, 0
547, 1, 1
550, 1, 0
552, 1, 1
555, 1, 0
557, 1, 1
560, 1, 0
562, 1, 1
565, 1, 0
567, 1, 1
570, 1, 0
572, 1, 1
575, 1, 0
577, 1, 1
580, 1, 0
582, 1, 1
585, 1, 0
587, 1, 1
590, 1, 0
592, 1, 1
595, 1, 0
597, 1, 1
600, 1, 0
602, 1, 1
605, 1, 0
607, 1, 1
610, 1, 0
612, 1, 1
615, 1, 0
617, 1, 1
620, 1, 0
622, 1, 1
625, 1, 0
627, 1, 1
630, 1, 0
632, 1, 1
635, 1, 0
637, 1, 1
640, 1, 0
642, 1, 1
645, 1, 0
647, 1, 1
650, 1, 0
652, 1, 1
655, 1, 0
657, 1, 1
660, 1, 0
662, 1, 1
665, 1, 0
667, 1, 1
670, 1, 0
672, 1, 1
675, 1, 0
677, 1, 1
680, 1, 0
682, 1, 1
685, 1, 0
687, 1, 1
690, 1, 0
692, 1, 1
695, 1, 0
697, 1, 1
700, 1, 0
702, 1, 1
705, 1, 0
707, 1, 1
710, 1, 0
712, 1, 1
715, 1, 0
717, 1, 1
720, 1, 0
722, 1, 1
725, 1, 0
727, 1, 1
730, 1, 0
732, 1, 1
735, 1, 0
737, 1, 1
740, 1, 0
742, 1, 1
745, 1, 0
747, 1, 1
750, 1, 0
752, 1, 1
755, 1, 0
757, 1, 1
760, 1, 0
762, 1, 1
765, 1, 0
767, 1, 1
770, 1, 0
772, 1, 1
775, 1, 0
777, 1, 1
780, 1, 0
782, 1, 1
785, 1, 0
787, 1, 1
790, 1, 0
792, 1, 1
795, 1, 0
797, 1, 1
800, 1, 0
802, 1, 1
805, 1, 0
807, 1, 1
810, 1, 0
812, 1, 1
815, 1, 0
817, 1, 1
820, 1, 0
822, 1, 1
825, 1, 0
827, 1, 1
830, 1, 0
832, 1, 1
835, 1, 0
837, 1, 1
840, 1, 0
842, 1, 1
845, 1, 0
847, 1, 1
850, 1, 0
852, 1, 1
855, 1, 0
857, 1, 1
860, 1, 0
862, 1, 1
865, 1, 0
867, 1, 1
870, 1, 0
872, 1, 1
875, 1, 0
877, 1, 1
880, 0, 0
882, 0, 1
885, 1, 0
887, 1, 1
890, 1, 0
892, 1, 1
895, 1, 0
897, 1, 1
900, 0, 0
902, 0, 1
905, 1, 0
907, 1, 1
910, 1, 0
912, 1, 1
915, 1, 0
917, 1, 1
920, 0, 0
922, 0, 1
925, 0, 0
927, 0, 1
930, 0, 0
932, 0, 1
935, 0, 0
937, 0, 1
940, 0, 0
942, 0, 1
945, 0, 0
947, 0, 1
950, 0, 0
952, 0, 1
955, 0, 0
957, 0, 1
960, 0, 0
962, 0, 1
965, 0, 0
967, 0, 1
970, 0, 0
972, 0, 1
975, 0, 0
977, 0, 1
980, 0, 0
982, 0, 1
985, 0, 0
987, 0, 1
990, 0, 0
992, 0, 1
995, 0, 0
997, 0, 1
1000, 0, 0
1002, 0, 1
1005, 0, 0
1007, 0, 1
1010, 0, 0
1012, 0, 1
1015, 0, 0
1017, 0, 1
1020, 0, 0
1022, 0, 1
1025, 0, 0
1027, 0, 1
1030, 0, 0
1032, 0, 1
1035, 0, 0
1037, 0, 1
1040, 0, 0
1042, 0, 1
1045, 0, 0
1047, 0, 1
1050, 0, 0
1052, 0, 1
1055, 0, 0
1057, 0, 1
1060, 0, 0
1062, 0, 1
1065, 0, 0
1067, 0, 1
1070, 0, 0
1072, 0, 1
1075, 0, 0
1077, 0, 1
1080, 0, 0
1082, 0, 1
1085, 1, 0
1087, 1, 1
1090, 1, 0
1092, 1, 1
1095, 0, 0
1097, 0, 1
1100, 0, 0
1102, 0, 1
1105, 1, 0
1107, 1, 1
1110, 0, 0
1112, 0, 1
1115, 1, 0
1117, 1, 1
1120, 1, 0
1122, 1, 1
1125, 1, 0
1127, 1, 1
1130, 1, 0
1132, 1, 1
1135, 1, 0
1137, 1, 1
1140, 1, 0
1142, 1, 1
1145, 1, 0
1147, 1, 1
1150, 1, 0
1152, 1, 1
1155, 1, 0
1157, 1, 1
1160, 1, 0
1162, 1, 1
1165, 0, 0
1167, 0, 1
1170, 0, 0
1172, 0, 1
1175, 1, 0
1177, 1, 1
1180, 1, 0
1182, 1, 1
1185, 0, 0
1187, 0, 1
1190, 1, 0
1192, 1, 1
1195, 1, 0
1197, 1, 1
1200, 1, 0
1202, 1, 1
1205, 0, 0
1207, 0, 1
1210, 0, 0
1212, 0, 1
1215, 0, 0
1217, 0, 1
1220, 0, 0
1222, 0, 1
1225, 0, 0
1227, 0, 1
1230, 0, 0
1232, 0, 1
1235, 0, 0
1237, 0, 1
1240, 0, 0
1242, 0, 1
1245, 0, 0
1247, 0, 1
1250, 1, 0
1252, 1, 1
1255, 0, 0
1257, 0, 1
